,epsilon,p,length,size
4089,1.8,0.07,6.76,0.28979999999999995
4088,1.8,0.075,6.02,0.26219999999999993
4087,1.8,0.08,5.76,0.2720499999999999
4086,1.8,0.085,6.52,0.32109999999999994
4085,1.8,0.09,8.24,0.44780000000000003
4084,1.8,0.095,8.19,0.48725
4083,1.8,0.1,7.36,0.42949999999999994
4082,1.8,0.125,8.58,0.6169500000000001
4081,1.8,0.15,7.47,0.61875
4080,1.8,0.175,8.34,0.7678
4079,1.8,0.2,7.65,0.7678999999999999
4078,1.8,0.225,6.67,0.74845
4077,1.8,0.25,6.95,0.8681
4076,1.8,0.275,6.86,0.9083
4075,1.8,0.3,6.13,0.8687
4074,1.8,0.325,6.24,0.9188500000000001
4073,1.8,0.35,6.04,0.9486000000000001
4072,1.8,0.375,5.79,0.9886999999999999
4071,1.8,0.4,5.52,0.96895
4070,1.8,0.425,5.14,0.9389
4069,1.8,0.45,5.07,0.9493
4068,1.8,0.475,4.96,0.9893000000000001
4067,1.8,0.5,4.71,0.9594
4066,1.8,0.525,4.77,0.9991499999999999
4065,1.8,0.55,4.53,0.9894
4064,1.8,0.575,4.35,0.9894999999999999
4063,1.8,0.6,4.29,0.9889000000000001
4062,1.8,0.625,4.24,0.9994999999999998
4061,1.8,0.65,4.02,0.9992000000000002
4060,1.8,0.675,4.04,0.9991000000000001
4059,1.8,0.7,3.9,0.9995999999999999
4058,1.8,0.725,3.81,0.9996
4057,1.8,0.75,3.66,0.9997499999999999
4056,1.8,0.775,3.56,0.9995
4055,1.8,0.8,3.45,0.9995
4054,1.8,0.825,3.35,0.99965
4053,1.8,0.85,3.42,0.9797999999999999
4052,1.8,0.875,3.43,0.9997499999999999
4051,1.8,0.9,3.27,0.9997999999999999
4050,1.8,0.925,3.28,0.9997999999999999
4049,1.8,0.95,3.14,0.9998500000000001
4048,1.8,0.975,3.15,0.9996
4047,1.8,1.0,3.1,0.9995499999999999
4046,2.0,0.0,1.0,0.004999999999999999
4045,2.0,0.005,1.04,0.0052
4044,2.0,0.01,1.21,0.006250000000000001
4043,2.0,0.015,1.19,0.0060999999999999995
4042,2.0,0.02,1.67,0.01589999999999999
4041,2.0,0.025,1.87,0.01834999999999999
4040,2.0,0.03,1.19,0.0060999999999999995
4039,2.0,0.035,1.48,0.01624999999999999
4038,2.0,0.04,3.59,0.08405000000000001
4037,2.0,0.045,3.75,0.0943
4036,2.0,0.05,4.18,0.11509999999999998
4035,2.0,0.055,5.08,0.17124999999999993
4034,2.0,0.06,5.49,0.19304999999999992
