,p,q,length,size
261,0.425,0.2,11.52,0.032760000000000004
260,0.425,0.3,10.84,0.030336000000000002
259,0.425,0.4,12.78,0.035616
258,0.425,0.5,11.74,0.033504000000000006
257,0.425,0.6,12.14,0.03592000000000001
256,0.425,0.7,11.68,0.030383999999999998
255,0.425,0.8,12.16,0.034296
254,0.425,0.9,11.74,0.031248000000000005
253,0.425,1.0,10.72,0.031056000000000004
252,0.45,0.0,9.9,0.03204800000000001
251,0.45,0.1,11.72,0.0328
250,0.45,0.2,11.4,0.033544
249,0.45,0.3,11.4,0.036584
248,0.45,0.4,10.76,0.032144000000000006
247,0.45,0.5,11.48,0.032768
246,0.45,0.6,11.72,0.032744
245,0.45,0.7,11.6,0.035104
244,0.45,0.8,11.82,0.035072000000000006
243,0.45,0.9,12.14,0.035912
242,0.45,1.0,11.7,0.035128000000000006
241,0.475,0.0,11.28,0.03503200000000001
240,0.475,0.1,12.62,0.03744800000000001
239,0.475,0.2,11.44,0.035168000000000005
238,0.475,0.3,10.62,0.033592000000000004
237,0.475,0.4,9.78,0.03122400000000001
236,0.475,0.5,10.54,0.036728000000000004
